symbol,currency,exchange,industry,sector,isActivelyTrading,ipoDate,delistedDate
JCSE,USD,NASDAQ,Industrial - Machinery,Industrials,True,2022-04-22,
TSCAP,USD,NASDAQ,Banks - Regional,Financial Services,False,2018-03-16,
UNTD,USD,NASDAQ,Internet Content & Information,Communication Services,False,2013-11-01,2016-07-11
LIMN,USD,NASDAQ,Biotechnology,Healthcare,True,2025-05-01,
RCKT,USD,NASDAQ,Biotechnology,Healthcare,True,2015-02-18,
AIIR,USD,NASDAQ,Tobacco,Consumer Defensive,True,2025-06-26,
PMT,USD,NYSE,REIT - Mortgage,Real Estate,True,2009-07-30,
SLVM,USD,NYSE,"Paper, Lumber & Forest Products",Basic Materials,True,2021-09-23,
VIASP,USD,NASDAQ,Regulated Electric,Utilities,True,2017-03-10,
NAV,USD,NYSE,Agricultural - Machinery,Industrials,False,1980-03-17,2007-02-14
BESS,USD,AMEX,Renewable Utilities,Utilities,True,2004-03-03,
BPYPP,USD,NASDAQ,Real Estate - Services,Real Estate,True,2019-03-14,
MSC,USD,NYSE,"Gambling, Resorts & Casinos",Consumer Cyclical,True,2018-10-18,
FLNC,USD,NASDAQ,Renewable Utilities,Utilities,True,2021-10-28,
HKIB,USD,NYSE,Financial - Capital Markets,Financial Services,False,2019-08-05,2022-01-31
FCNCO,USD,NASDAQ,Banks - Regional,Financial Services,True,2022-01-07,
CTDD,USD,NYSE,Telecommunications Services,Communication Services,True,2017-04-28,
AMNB,USD,NASDAQ,Banks - Regional,Financial Services,False,1999-04-13,2024-03-28
SVMH,USD,NASDAQ,Auto - Manufacturers,Consumer Cyclical,False,2022-09-27,2025-01-22
JL,USD,NASDAQ,Apparel - Manufacturers,Consumer Cyclical,True,2024-01-24,
PEB,USD,NYSE,REIT - Hotel & Motel,Real Estate,True,2009-12-09,
KND,USD,NYSE,Medical - Care Facilities,Healthcare,False,2001-05-01,2018-06-29
TRINL,USD,NASDAQ,Investment - Banking & Investment Services,Financial Services,False,2022-07-29,
SRT,USD,NYSE,Information Technology Services,Technology,False,1997-06-19,2024-01-04
LOAN,USD,NASDAQ,REIT - Mortgage,Real Estate,True,1999-05-13,
NEWR,USD,NYSE,Software - Infrastructure,Technology,False,2014-12-12,2023-11-07
ATCO,USD,NYSE,Asset Management,Financial Services,False,2005-08-09,2023-03-27
NEX,USD,NYSE,Oil & Gas Equipment & Services,Energy,False,2017-01-20,2023-09-01
LODE,USD,AMEX,Real Estate - Services,Real Estate,True,2010-07-21,
LONA,USD,NASDAQ,Biotechnology,Healthcare,True,2020-09-18,
SOBO,USD,NYSE,Oil & Gas Midstream,Energy,True,2024-10-08,
BGFV,USD,NASDAQ,Specialty Retail,Consumer Cyclical,False,2002-06-25,2025-10-03
BKEPP,USD,NASDAQ,Oil & Gas Midstream,Energy,False,2012-03-05,
SGH,USD,NASDAQ,Semiconductors,Technology,False,2017-05-24,
GLIBK,USD,NASDAQ,Telecommunications Services,Communication Services,True,2025-07-11,
ALKT,USD,NASDAQ,Software - Application,Technology,True,2021-04-14,
PPD,USD,NASDAQ,Drug Manufacturers - Specialty & Generic,Healthcare,False,2020-02-06,
AKAN,USD,NASDAQ,Drug Manufacturers - Specialty & Generic,Healthcare,True,2022-03-15,
FAASW,USD,NASDAQ,Software - Application,Technology,False,2021-09-14,
ESGRO,USD,NASDAQ,Insurance - Diversified,Financial Services,False,2018-11-14,2026-01-30
HCXZ,USD,NYSE,Asset Management,Financial Services,False,2018-05-04,2025-04-30
WORX,USD,NASDAQ,Medical - Healthcare Information Services,Healthcare,False,2016-10-06,2026-04-14
ENJYW,USD,NASDAQ,Specialty Retail,Consumer Cyclical,False,2022-07-13,
SGBX,USD,NASDAQ,Manufacturing - Metal Fabrication,Industrials,False,2017-06-22,
OUST-WTA,USD,NYSE,"Hardware, Equipment & Parts",Technology,False,,
ACOR,USD,NASDAQ,Drug Manufacturers - Specialty & Generic,Healthcare,False,2006-02-10,2024-05-07
CSTR,USD,NASDAQ,Banks - Regional,Financial Services,False,2016-09-22,
GMM,USD,NASDAQ,Information Technology Services,Technology,True,2023-10-09,
TIPT,USD,NASDAQ,Insurance - Specialty,Financial Services,True,2010-10-15,
FJET,USD,AMEX,Aerospace & Defense,Industrials,True,2025-12-18,
FBYD,USD,NASDAQ,Conglomerates,Industrials,True,2023-10-06,
PRTC,USD,NASDAQ,Biotechnology,Healthcare,True,2020-11-16,
BATL,USD,AMEX,Oil & Gas Exploration & Production,Energy,True,2019-12-24,
EEFT,USD,NASDAQ,Software - Infrastructure,Technology,True,1997-03-07,
TFINP,USD,NASDAQ,Banks - Regional,Financial Services,False,2020-06-18,2026-02-10
SIMO,USD,NASDAQ,Semiconductors,Technology,True,2005-06-30,
RSYS,USD,NASDAQ,Software - Infrastructure,Technology,False,1995-10-20,2018-12-11
FOXX,USD,NASDAQ,Technology Distributors,Industrials,True,2022-08-08,
ROP,USD,NASDAQ,Software - Application,Technology,True,1992-02-13,
KWESW,USD,NASDAQ,Aerospace & Defense,Industrials,False,2020-09-18,2025-06-30
PWOD,USD,NASDAQ,Banks - Regional,Financial Services,False,1994-06-02,2025-07-28
IQ,USD,NASDAQ,Entertainment,Communication Services,True,2018-03-29,
ECXWW,USD,NASDAQ,Auto - Parts,Consumer Cyclical,True,2022-12-21,
HCM,USD,NASDAQ,Drug Manufacturers - Specialty & Generic,Healthcare,True,2016-03-16,
HCAI,USD,NASDAQ,Industrial - Machinery,Industrials,True,2025-02-05,
IVDA,USD,NASDAQ,Security & Protection Services,Industrials,True,2009-10-12,
OABI,USD,NASDAQ,Biotechnology,Healthcare,True,2021-09-30,
LSBPW,USD,NASDAQ,Biotechnology,Healthcare,False,,
SRPT,USD,NASDAQ,Biotechnology,Healthcare,True,1997-06-04,
JOY,USD,NYSE,Agricultural - Machinery,Industrials,False,2001-05-25,2017-04-05
OPTX,USD,NASDAQ,"Hardware, Equipment & Parts",Technology,True,2022-01-26,
EQC,USD,NYSE,REIT - Office,Real Estate,False,1986-12-17,2025-04-22
ARKR,USD,NASDAQ,Restaurants,Consumer Cyclical,True,1985-12-13,
NVNO,USD,NASDAQ,Medical - Devices,Healthcare,True,2018-05-31,
PFIS,USD,NASDAQ,Banks - Regional,Financial Services,True,2002-06-05,
SSBK,USD,NASDAQ,Banks - Regional,Financial Services,False,2021-08-12,2025-06-30
ELSE,USD,NASDAQ,"Hardware, Equipment & Parts",Technology,True,1981-06-09,
VSTE,USD,NASDAQ,Solar,Energy,False,2022-01-10,2025-05-24
FATH,USD,NYSE,Computer Hardware,Technology,False,2021-03-29,2024-05-20
BSY,USD,NASDAQ,Software - Application,Technology,True,2020-09-23,
SMED,USD,NASDAQ,Waste Management,Industrials,False,1994-02-02,2022-08-23
BEN,USD,NYSE,Asset Management,Financial Services,True,1983-09-23,
LFT,USD,NYSE,REIT - Mortgage,Real Estate,True,2013-03-22,
MDNA,USD,NASDAQ,Biotechnology,Healthcare,False,2017-11-13,2025-01-16
YPF,USD,NYSE,Oil & Gas Integrated,Energy,True,1993-06-29,
LB,USD,NYSE,Oil & Gas Equipment & Services,Energy,True,2024-06-28,
DMAC,USD,NASDAQ,Biotechnology,Healthcare,True,2012-08-03,
JRSH,USD,NASDAQ,Apparel - Manufacturers,Consumer Cyclical,True,2018-05-04,
CWD,USD,NASDAQ,Asset Management,Financial Services,True,2023-05-18,
TBLAW,USD,NASDAQ,Internet Content & Information,Communication Services,True,2021-06-30,
BTCT,USD,NASDAQ,Education & Training Services,Consumer Defensive,True,2018-10-17,
SOHU,USD,NASDAQ,Electronic Gaming & Multimedia,Technology,True,2000-07-12,
VVI,USD,NYSE,Specialty Business Services,Industrials,False,2004-06-22,2025-01-28
BBG,USD,NYSE,Oil & Gas Exploration & Production,Energy,False,2004-12-10,2018-03-30
BNGO,USD,NASDAQ,Medical - Diagnostics & Research,Healthcare,True,2018-08-21,
SAND,USD,NYSE,Gold,Basic Materials,False,2010-02-22,2025-10-24
NIXX,USD,NASDAQ,Staffing & Employment Services,Industrials,True,2012-09-25,
VINE,USD,AMEX,Beverages - Wineries & Distilleries,Consumer Defensive,False,2021-12-14,2025-03-21
CLDB,USD,NASDAQ,Banks - Regional,Financial Services,False,1993-10-27,2021-11-01
VMEM,USD,NYSE,Computer Hardware,Technology,False,2013-09-27,2016-10-27
MF,USD,NASDAQ,Grocery Stores,Consumer Defensive,False,2021-06-25,
KIM-PN,USD,NYSE,REIT - Retail,Real Estate,True,2024-01-04,
GROV,USD,NYSE,Household & Personal Products,Consumer Defensive,True,2021-05-13,
AENTW,USD,NASDAQ,Entertainment,Communication Services,False,2021-03-24,2026-03-16
CREVW,USD,NASDAQ,Auto - Parts,Consumer Cyclical,False,2023-11-03,
FLYX-WT,USD,AMEX,"Airlines, Airports & Air Services",Industrials,True,2023-12-27,
SFST,USD,NASDAQ,Banks - Regional,Financial Services,True,1999-10-28,
PX,USD,NYSE,Asset Management,Financial Services,False,2021-10-21,2026-02-11
AGMB,USD,NASDAQ,Biotechnology,Healthcare,True,2024-05-29,
PSB,USD,NYSE,REIT - Diversified,Real Estate,False,1991-03-27,2022-07-19
GIB,USD,NYSE,Information Technology Services,Technology,True,1998-10-07,
CIG-C,USD,NYSE,Diversified Utilities,Utilities,True,2007-06-12,
FSLR,USD,NASDAQ,Solar,Energy,True,2006-11-17,
SMTK,USD,NASDAQ,Semiconductors,Technology,True,2022-02-03,
FUN,USD,NYSE,Leisure,Consumer Cyclical,True,1987-04-23,
ACCD,USD,NASDAQ,Medical - Healthcare Information Services,Healthcare,False,2020-07-01,2025-04-07
SABS,USD,NASDAQ,Biotechnology,Healthcare,True,2021-02-09,
MBVI,USD,NASDAQ,Asset Management,Financial Services,True,2025-08-26,
NCLH,USD,NYSE,Travel Services,Consumer Cyclical,True,2013-01-18,
FBRT,USD,NYSE,REIT - Mortgage,Real Estate,True,2021-10-19,
RPID,USD,NASDAQ,Medical - Devices,Healthcare,True,2021-07-15,
INDV,USD,NASDAQ,Drug Manufacturers - Specialty & Generic,Healthcare,True,2014-12-29,
EGN,USD,NYSE,Oil & Gas Exploration & Production,Energy,False,1972-06-01,2018-11-29
MPX,USD,NYSE,Auto - Recreational Vehicles,Consumer Cyclical,False,2001-03-01,2026-05-15
WISA,USD,NASDAQ,Semiconductors,Technology,False,2018-07-27,2025-02-14
BSMX,USD,NYSE,Banks - Regional,Financial Services,False,2012-09-26,2023-05-04
CAAP,USD,NYSE,"Airlines, Airports & Air Services",Industrials,True,2018-02-01,
CELG-RI,USD,NYSE,Drug Manufacturers - General,Healthcare,True,2019-11-21,
BTGO,USD,NYSE,Financial - Capital Markets,Financial Services,True,2026-01-21,
NMFCZ,USD,NASDAQ,Asset Management,Financial Services,True,2023-11-27,
CIFRW,USD,NASDAQ,Financial - Capital Markets,Financial Services,False,2020-10-20,2025-12-29
CRACR,USD,NASDAQ,Asset Management,Financial Services,True,2025-12-09,
HUT,USD,NASDAQ,Financial - Capital Markets,Financial Services,True,2018-03-08,
SVRA,USD,NASDAQ,Biotechnology,Healthcare,True,2017-04-28,
BHB,USD,AMEX,Banks - Regional,Financial Services,True,1997-09-23,
SSNC,USD,NASDAQ,Software - Application,Technology,True,2010-03-31,
QNTM,USD,NASDAQ,Drug Manufacturers - Specialty & Generic,Healthcare,True,2018-06-08,
JXJT,USD,NASDAQ,Apparel - Manufacturers,Consumer Cyclical,False,2013-03-07,2024-12-20
NWBI,USD,NASDAQ,Banks - Regional,Financial Services,True,1994-11-07,
TRINI,USD,NASDAQ,Asset Management,Financial Services,True,2024-07-22,
ARG,USD,NYSE,Chemicals - Specialty,Basic Materials,False,1986-11-01,
CMPI,USD,NASDAQ,Biotechnology,Healthcare,False,2020-08-07,
ALSK,USD,NASDAQ,Telecommunications Services,Communication Services,False,1999-11-17,
UUU,USD,AMEX,Security & Protection Services,Industrials,True,1981-11-12,
VNOM,USD,NASDAQ,Oil & Gas Midstream,Energy,True,2014-06-18,
DELL,USD,NYSE,Computer Hardware,Technology,True,2016-08-17,
AXP,USD,NYSE,Financial - Credit Services,Financial Services,True,1972-06-01,
MS-PL,USD,NYSE,Financial - Capital Markets,Financial Services,True,2019-11-19,
GLT,USD,NYSE,"Paper, Lumber & Forest Products",Basic Materials,False,1980-03-17,2024-11-04
VNO-PN,USD,NYSE,REIT - Office,Real Estate,True,2020-11-23,
TRTN-PD,USD,NYSE,Rental & Leasing Services,Industrials,True,2020-01-17,
DBRG-PH,USD,NYSE,Asset Management,Financial Services,True,2015-04-09,
ELMD,USD,AMEX,Medical - Devices,Healthcare,True,2010-08-13,
SU,USD,NYSE,Oil & Gas Integrated,Energy,True,1980-03-17,
GCMGW,USD,NASDAQ,Asset Management,Financial Services,False,2019-02-06,2025-11-25
TFC-PO,USD,NYSE,Banks - Regional,Financial Services,True,2020-05-20,
BW-PA,USD,NYSE,Industrial - Machinery,Industrials,True,2021-05-06,
WFC-PZ,USD,NYSE,Banks - Diversified,Financial Services,True,2020-01-16,
AACG,USD,NASDAQ,Education & Training Services,Consumer Defensive,True,2008-01-29,
METCB,USD,NASDAQ,Coal,Energy,True,2023-06-21,
AIH,USD,NASDAQ,Medical - Care Facilities,Healthcare,False,2019-10-25,
BASE,USD,NASDAQ,Software - Infrastructure,Technology,False,2021-07-22,2025-09-25
RF-PE,USD,NYSE,Banks - Regional,Financial Services,True,2021-04-29,
CACC,USD,NASDAQ,Financial - Credit Services,Financial Services,True,1992-06-05,
MS-PP,USD,NYSE,Financial - Capital Markets,Financial Services,True,2022-07-29,
TCPA,USD,NYSE,Oil & Gas Midstream,Industrials,True,2025-10-15,
CMCO,USD,NASDAQ,Agricultural - Machinery,Industrials,True,1996-02-23,
SRRA,USD,NASDAQ,Biotechnology,Healthcare,False,2015-07-16,
CFG-PH,USD,NYSE,Banks - Regional,Financial Services,True,2024-05-17,
MS-PA,USD,NYSE,Financial - Capital Markets,Financial Services,True,2006-07-10,
AUROW,USD,NASDAQ,Information Technology Services,Technology,True,2021-11-04,
STIX,USD,NASDAQ,Software - Application,Technology,False,2021-04-14,
KEY-PJ,USD,NYSE,Banks - Regional,Financial Services,True,2018-07-24,
MWG,USD,AMEX,Rental & Leasing Services,Industrials,True,2023-04-03,
BANC-PF,USD,NYSE,Banks - Regional,Financial Services,True,2023-12-01,
BRLS,USD,NASDAQ,Packaged Foods,Consumer Defensive,True,2021-10-06,
SF-PD,USD,NYSE,Financial - Capital Markets,Financial Services,True,2021-07-19,
GBLI,USD,NASDAQ,Insurance - Property & Casualty,Financial Services,True,2003-12-16,
PITA,USD,NASDAQ,Electrical Equipment & Parts,Industrials,False,2021-12-27,2025-04-29
FREE,USD,NASDAQ,Packaged Foods,Consumer Defensive,False,2019-05-14,2024-08-02
NNE,USD,NASDAQ,Industrial - Machinery,Industrials,True,2000-01-05,
NUVB-WT,USD,NYSE,Biotechnology,Healthcare,True,2020-08-26,
LITM,USD,NASDAQ,Other Precious Metals,Basic Materials,True,2021-11-19,
RVMDW,USD,NASDAQ,Biotechnology,Healthcare,True,2020-02-13,
MKC-V,USD,NYSE,Packaged Foods,Consumer Defensive,True,2003-10-07,
CINGW,USD,NASDAQ,Biotechnology,Healthcare,True,2021-12-08,
TFC-PI,USD,NYSE,Banks - Regional,Financial Services,True,2019-12-10,
AMTBB,USD,NASDAQ,Banks - Regional,Financial Services,False,2018-12-19,2021-09-21
UZD,USD,NYSE,Telecommunications Services,Communication Services,True,2020-08-20,
TRTN-PB,USD,NYSE,Rental & Leasing Services,Industrials,True,2019-06-18,
IRS-WT,USD,NYSE,Real Estate - Development,Financial Services,True,1994-12-20,
BAC-PO,USD,NYSE,Banks - Diversified,Financial Services,True,2020-10-28,
OAK-PB,USD,NYSE,Asset Management,Financial Services,True,2018-08-07,
PEI,USD,NYSE,REIT - Retail,Real Estate,False,1980-03-17,2022-12-15
WBS-PF,USD,NYSE,Banks - Regional,Financial Services,True,2017-12-05,
NXPLW,USD,NASDAQ,Software - Application,Technology,True,1999-11-02,
PAPL,USD,AMEX,Financial - Mortgages,Financial Services,True,2023-11-01,
AOMN,USD,NYSE,REIT - Industrial,Financial Services,True,2024-08-01,
MFA-PB,USD,NYSE,REIT - Mortgage,Real Estate,True,2013-04-10,
F-PD,USD,NYSE,Auto - Manufacturers,Consumer Cyclical,True,1972-06-01,
GNL-PD,USD,NYSE,REIT - Diversified,Real Estate,True,2023-09-12,
CMRE-PB,USD,NYSE,Marine Shipping,Industrials,True,2013-08-01,
BRFH,USD,NASDAQ,Beverages - Non-Alcoholic,Consumer Defensive,True,2012-05-14,
ICPT,USD,NASDAQ,Biotechnology,Healthcare,False,2012-10-11,2023-11-07
ARVL,USD,NASDAQ,Auto - Manufacturers,Consumer Cyclical,False,2020-02-03,
LEV,USD,NYSE,Agricultural - Machinery,Industrials,False,2020-10-08,2024-12-18
TCPC,USD,NASDAQ,Asset Management,Financial Services,True,2012-04-04,
HIND,USD,NASDAQ,Biotechnology,Healthcare,True,2016-10-06,
DCFC,USD,NASDAQ,Electrical Equipment & Parts,Industrials,False,2021-04-01,
CSLRW,USD,NASDAQ,Engineering & Construction,Industrials,False,2005-11-17,2025-04-22
FATN,USD,NASDAQ,Software - Infrastructure,Technology,True,2025-04-08,
HOLI,USD,NASDAQ,Electrical Equipment & Parts,Industrials,False,2005-08-31,2024-07-25
HPAIW,USD,NASDAQ,Software - Infrastructure,Technology,True,2021-10-13,
WAFU,USD,NASDAQ,Education & Training Services,Consumer Defensive,True,2019-04-30,
AIMDW,USD,NASDAQ,Biotechnology,Healthcare,True,2021-01-08,
NKLA,USD,NASDAQ,Agricultural - Machinery,Industrials,False,2018-06-11,
KBSX,USD,NASDAQ,Steel,Basic Materials,True,2022-03-01,
VICI,USD,NYSE,REIT - Specialty,Real Estate,True,2018-01-02,
PED,USD,AMEX,Oil & Gas Exploration & Production,Energy,True,2003-05-02,
GSMGW,USD,NASDAQ,Advertising Agencies,Communication Services,False,2018-09-12,
NNDM,USD,NASDAQ,Computer Hardware,Technology,True,2016-03-07,
AMPS,USD,NYSE,Renewable Utilities,Utilities,False,2021-02-01,2025-04-16
TAP,USD,NYSE,Beverages - Alcoholic,Consumer Defensive,True,1975-06-12,
SGBXV,USD,NASDAQ,Manufacturing - Metal Fabrication,Industrials,False,,
ORKA,USD,NASDAQ,Biotechnology,Healthcare,True,1997-08-08,
CRMD,USD,NASDAQ,Biotechnology,Healthcare,True,2010-05-13,
GCT,USD,NASDAQ,Software - Infrastructure,Technology,True,2022-08-18,
DS-PD,USD,NYSE,Leisure,Consumer Cyclical,False,2007-04-02,
NKGNW,USD,NASDAQ,Biotechnology,Healthcare,False,,
EXTO,USD,NYSE,Department Stores,Consumer Cyclical,False,2023-09-13,2025-02-03
BG,USD,NYSE,Agricultural Farm Products,Consumer Defensive,True,2001-08-02,
HBI,USD,NYSE,Apparel - Manufacturers,Consumer Cyclical,False,2006-09-06,2025-12-01
MCFE,USD,NASDAQ,Software - Infrastructure,Technology,False,2020-10-22,2022-02-28
ABR-PB,USD,NYSE,REIT - Mortgage,Real Estate,False,2013-05-21,
CAPT,USD,NASDAQ,Industrial - Specialties,Industrials,False,2022-04-04,2026-04-09
AAU,USD,AMEX,Gold,Basic Materials,False,2005-12-20,2024-04-04
CEAD,USD,NASDAQ,Agricultural - Machinery,Industrials,False,2014-03-17,
MBII,USD,NASDAQ,Agricultural Inputs,Basic Materials,False,2013-08-02,2022-07-12
TD,USD,NYSE,Banks - Diversified,Financial Services,True,1996-08-30,
MGRX,USD,NASDAQ,Medical - Healthcare Information Services,Healthcare,True,2023-03-21,
TGT,USD,NYSE,Discount Stores,Consumer Defensive,True,1967-10-18,
YSS,USD,NYSE,Communication Equipment,Technology,True,2026-01-29,
JRVR,USD,NASDAQ,Insurance - Specialty,Financial Services,True,2014-12-12,
YMM,USD,NYSE,Software - Application,Technology,True,2021-06-23,
REIS,USD,NASDAQ,Software - Application,Technology,False,2013-08-28,2018-10-12
PHM,USD,NYSE,Residential Construction,Consumer Cyclical,True,1980-03-17,
AIRG,USD,NASDAQ,Communication Equipment,Technology,True,2016-08-12,
CVX,USD,NYSE,Oil & Gas Integrated,Energy,True,1921-06-24,
DSX,USD,NYSE,Marine Shipping,Industrials,True,2005-03-23,
HNP,USD,NYSE,Independent Power Producers,Utilities,False,2001-09-04,2022-07-07
SST-WT,USD,NYSE,Specialty Business Services,Industrials,False,,
VEEV,USD,NYSE,Medical - Healthcare Information Services,Healthcare,True,2013-10-16,
FIS,USD,NYSE,Information Technology Services,Technology,True,2001-06-20,
LFWD,USD,NASDAQ,Medical - Devices,Healthcare,True,2014-09-12,
